Entity_Name,Entity_Type,Description,First_Mentioned,Source,Role,Connections,Status,Notes,Financial_Data,Temporal_Data,Network_Degree,Cross_Investigations,Last_Updated
Investigate,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen) | Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations | Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025 | Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Roche,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen)",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Abbott,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen)",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Qiagen,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen)",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
This,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen) | Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations | Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025 | Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Agent,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen) | Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations | Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025 | Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Provide,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen) | Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations | Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025 | Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
"Sample Entities

Example Corporation",Corporation,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen) | Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations | Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025 | Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 1 times in research,,Active,[2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Institution,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen) | Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations | Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025 | Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 1 times in research,,Active,[2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 1 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Sample Technology,Organization,"Entity discovered during research on: Investigate board connections and financial relationships between major testing companies (Roche, Abbott, Qiagen) | Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations | Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025 | Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development",2025-12-19,Agent web_research_20251219_010810_709,Mentioned 1 times in research,,Active,[2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 2 times in research | [2025-12-19] Mentioned 1 times in research | [2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Trace,Organization,Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations,2025-12-19,Agent web_research_20251219_010810_713,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Emergency Use Authorizations,Organization,Entity discovered during research on: Trace FDA approval timeline for COVID-19 PCR tests and Emergency Use Authorizations,2025-12-19,Agent web_research_20251219_010810_713,Mentioned 2 times in research,,Active,[2025-12-19] Mentioned 2 times in research,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Map,Organization,Entity discovered during research on: Map the diagnostic testing industry consolidation from 2019-2025,2025-12-19,Agent web_research_20251219_010810_715,Mentioned 2 times in research,,Active,,,,0,COVID_PCR_Truth_Investigation,2025-12-19
Research,Organization,Entity discovered during research on: Research conflicts of interest in CDC/FDA PCR testing guidelines development,2025-12-19,Agent web_research_20251219_010810_717,Mentioned 3 times in research,,Active,,,,0,COVID_PCR_Truth_Investigation,2025-12-19
